"details","Date","Team","Acquired","Relinquished","Notes","week_num","nfl_year","Field","ACL","MCL","ankle","foot","toe","concussion","lower","upper"
"abdominal ","2020-09-06","Broncos",""," Troy Fumagalli","placed on IR with abdominal injury","Offseason",2020,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2019-08-31","Packers",""," Greg Roberts (b. 1996-03-21)","placed on reserve/physically unable to perform list with abdominal injury","Offseason",2019,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2018-12-01","Seahawks",""," C.J. Prosise","placed on IR with abdominal injury","13",2018,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2016-12-23","Vikings",""," Mackensie Alexander / MacKensie Alexander","placed on IR with abdominal injury","16",2016,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2019-12-10","Falcons",""," Calvin Ridley","placed on IR with abdominal injury","15",2019,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2019-11-23","Eagles",""," Johnathan Ford / Rudy Ford","placed on IR with abdominal injury","12",2019,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2016-10-04","Lions",""," Wallace Gilberry","placed on IR with abdominal injury","5",2016,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2021-11-20","Titans",""," Bud Dupree","placed on IR with abdominal injury","11",2021,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2017-08-24","Colts",""," Tevin Mitchel","placed on IR with abdominal injury","Offseason",2017,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2016-10-18","Browns",""," Jordan Poyer","placed on IR with abdominal injury","7",2016,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2022-01-04","Seahawks",""," Alex Collins","placed on IR with abdominal injury","18",2021,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2021-09-18","Patriots",""," Quinn Nordin","placed on IR with abdominal injury","2",2021,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2015-12-02","Cowboys",""," Ryan Russell","placed on IR with abdominal injury","13",2015,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2015-08-17","Eagles",""," Brandon Hepburn","placed on IR with abdominal injury","Offseason",2015,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2017-12-27","Jets",""," Brian Winters","placed on IR with abdominal injury","17",2017,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2018-08-19","Browns",""," Julian Allen (f)","placed on IR with abdominal injury","Offseason",2018,"Grass",0,0,0,0,0,0,0,0
"Achilles ","2015-06-04","Raiders",""," Andre Debose","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-10-16","Packers",""," Quinten Rollins","placed on IR with Achilles injury","6",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-09-09","Ravens",""," Justice Hill","placed on IR with Achilles injury","1",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-11-28","Dolphins",""," Jakeem Grant","placed on IR with Achilles injury","13",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-12-26","Jaguars",""," Sidney Jones IV","placed on IR with Achilles injury","16",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Bengals",""," A.J. Hawk (a)","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-06-22","Bills",""," Bryan Cox Jr.","placed on IR with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-09-01","Rams",""," Josh Carraway","placed on IR with Achilles injury","Offseason",2019,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-09-01","Patriots",""," Isaiah Wynn","placed on IR with Achilles injury","Offseason",2018,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2016-12-03","Jaguars",""," Rashad Greene Sr.","placed on IR with Achilles injury","13",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-08-07","Seahawks",""," Brandon Cottom","placed on IR with Achilles injury","Offseason",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-05-14","Broncos",""," Nico Falah","placed on IR with Achilles injury","Offseason",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-12-16","Jets",""," Saquan Hampton","placed on IR with Achilles injury","15",2020,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-08-28","Dolphins",""," Vince Biegel","placed on IR with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-12-24","Texans",""," Demaryius Thomas","placed on IR with Achilles injury","16",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-05-02","Cardinals",""," Gabe Martin","placed on IR with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-04","Falcons",""," Sean Weatherspoon","placed on IR with Achilles injury","5",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2017-05-03","Eagles",""," Dominique Williams (b) / Dom Williams","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-06-17","Panthers",""," Tyronne Green","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-10-23","Chiefs",""," Jody Fortson Jr. / Joe Fortson","placed on IR with Achilles injury","7",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-13","Cowboys",""," Chris Whaley","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-07-23","Buccaneers",""," Curtis Riley","placed on IR with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-05-10","Jets",""," Saquan Hampton","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2016-08-07","Seahawks",""," Ronnie Shields","placed on IR with Achilles injury","Offseason",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-12-27","Washington",""," Tyler Larsen","placed on IR with Achilles injury","16",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-08-31","49ers",""," Tarvarius Moore","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-06","49ers",""," NaVorro Bowman","placed on IR with Achilles injury","5",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-02-06","Chiefs",""," Eric Fisher","placed on IR with Achilles injury","SuperBowl",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-08-06","Cardinals",""," Gabe Martin","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-08","Jets",""," Antonio Allen","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-09-09","Buccaneers",""," Justin Evans (b. 1995-08-26)","placed on IR with Achilles injury","1",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-09-06","Dolphins",""," MarQueis Gray","placed on IR with Achilles injury","1",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-21","Washington",""," Josh Doctson","placed on IR with Achilles injury","7",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-07-31","Steelers",""," Shawn Lemon","placed on physically unable to perform list with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-09-01","Texans",""," D'Onta Foreman","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-09-02","Dolphins",""," Tony Lippett","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2019-08-23","Steelers",""," Lavon Hooks","placed on IR with Achilles injury","Offseason",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-11-27","Raiders",""," Jacquies Smith","placed on IR with Achilles injury","13",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-11-08","Browns",""," Reggie Porter","placed on IR with Achilles injury","10",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2019-08-04","Seahawks",""," Justin Johnson","placed on IR with Achilles injury","Offseason",2019,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Broncos",""," A.J. Hawk (a)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-06-02","Ravens",""," Xavier Kelly","placed on IR with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-06-12","Broncos",""," Deiontrez Mount","placed on IR with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-09-23","Raiders",""," Richie Incognito","placed on IR with Achilles injury","3",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-12-25","Cowboys",""," Gavin Escobar","placed on IR with Achilles injury","16",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2015-07-30","Titans",""," Dorin Dickerson","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-05-12","Texans",""," James Rouse (b)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Broncos",""," Kyle Williams (Steven)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
